Id,activity_date,activity_type,elapsed_time,moving_time,distance,average_speed,average_heart_rate
ead687b5-dcbb-474b-87a2-d7ba6b9df3e0,2019-03-29 17:41:18,Weight Training,1800.0,1800.0,0.0,,
1165d288-e523-448b-9737-d8442ccf31e3,2019-03-30 15:59:25,Run,3961.0,3961.0,11577.7998046875,,
22e845f5-5bf7-44a9-bc0e-aae1fa52a8c5,2019-04-01 19:27:30,Workout,2700.0,2700.0,0.0,,
c2a96db2-b2c3-4f29-a66a-cf99c160b66a,2019-04-02 15:54:49,Run,1685.0,1470.0,3488.60009765625,,
abb077b1-1874-46b8-93b8-4e61e64469d0,2019-04-13 11:43:47,Run,3641.0,3243.0,6511.0,,136.82476806640625
39bea553-ea0f-4811-95ae-26fab6120d0e,2019-04-14 09:40:50,Run,7637.0,6914.0,14576.0,,137.41835021972656
59c0e040-7bf7-4d32-bf3b-9f5a4d79a9ea,2019-03-03 18:40:30,Workout,27.0,27.0,0.0,,69.70370483398438
8060bc91-145b-45d5-9ce8-21d47f34de28,2019-04-17 16:00:25,Workout,3600.0,3600.0,0.0,,
f68be29a-3a19-4303-8883-2207af046fde,2019-04-18 05:25:05,Ride,1702.0,1308.0,5766.0,,108.5081558227539
ea3a25c8-0b08-4e59-91d6-b76527b31679,2019-04-18 15:25:25,Ride,1629.0,1442.0,5681.0,,99.46194458007812
f5f5b399-f9d3-4e29-9a2a-217fbea167ec,2019-04-19 04:24:39,Run,1286.0,1263.0,3037.0,,130.84608459472656
42cd8a2d-b049-428a-9051-2bcba8ab0be5,2019-04-19 06:25:31,Ride,1583.0,1412.0,5774.0,,81.62141418457031
5c80bbd2-faab-4909-8ae6-e4992b1c6315,2019-04-19 15:27:40,Ride,3091.0,2716.0,12620.0,,95.96253204345703
ea4869b5-a9c2-4487-af79-82dde356fb8c,2019-04-21 05:52:02,Run,1279.0,1279.0,3553.0,,124.37785339355469
18b05c80-b7bb-4018-9930-2c0372f4b53f,2019-04-22 11:58:19,Run,5810.0,5656.0,8343.0,,114.59542846679688
9c6e1420-42a4-4dc1-89df-0503b8a2a952,2019-04-23 06:26:44,Ride,1280.0,1280.0,5900.2998046875,,
58c8c27b-4047-407e-80ce-4281b7359dc0,2019-04-23 15:42:49,Ride,4282.0,3156.0,16763.69921875,,
ed227974-4666-4c80-a65f-aa3c792e4778,2019-04-25 15:10:17,Workout,3600.0,3600.0,0.0,,
8fd29dd2-6af1-4449-a064-823c56fcb367,2019-04-26 06:18:27,Ride,1452.0,1229.0,5719.0,,117.30130767822266
59c2afd4-a3ea-4525-9f32-eda0bdca9b1c,2019-04-27 07:14:14,Ride,16741.0,14818.0,66457.0,,118.56156921386719
9f35783a-0619-4ec9-89b0-c079a0ff5394,2019-04-26 17:03:00,Ride,2110.0,1822.0,7867.0,,109.4952621459961
87014d05-704b-4b15-85be-3c832d2d9d64,2019-04-30 05:30:47,Ride,1468.0,1229.0,5784.0,,80.96822357177734
8e222b98-ae6d-473a-9a1c-74830ff3e769,2019-05-02 16:00:48,Workout,,3600.0,,,
c05bd16e-87e2-495c-8ca7-b1b3e4057873,2019-05-01 09:00:01,Run,,3018.0,10062.400390625,,
d0f14f1a-b19c-4134-b83d-056d18ae72e0,2019-05-04 05:51:59,Ride,,3781.0,22497.0,,
157b8df6-9e92-4fda-8f33-14d5fc14a429,2019-05-13 05:40:08,Ride,,1276.0,5746.0,,103.0
d5d9aadc-5325-413d-bfc5-1e8db4755849,2019-05-14 05:52:17,Ride,,2152.0,9893.0,,117.0
332a96b1-611d-452d-aeb3-f576c2ec250e,2019-05-14 16:31:55,Ride,,4061.0,16585.0,,110.0
35176d82-cfed-41c5-927b-f5d4631b642d,2019-05-15 15:50:35,Run,,1438.0,3637.300048828125,,
90a368a0-39d5-4a16-84ac-45262e14228f,2019-05-19 09:00:03,Ride,,7585.0,48804.0,,149.0
47ce2f76-43c1-422d-b5d9-1adfc05ac6c2,2019-05-21 04:19:31,Run,,1038.0,2934.0,,115.0
d652649a-7d2d-46f9-9819-ea6af4124be3,2019-05-22 05:03:29,Workout,,3600.0,,,
94866604-daaa-4842-8beb-2e7af597199b,2019-05-22 15:57:51,Run,,3338.0,6381.0,,129.0
243fb3ec-8a1d-4edf-8e58-dcb0e275b866,2019-05-23 16:38:12,Run,,818.0,1617.0999755859375,,
77ba8d3e-210f-459f-b37d-ef3fb8ac3693,2019-05-25 08:29:02,Workout,,18821.0,58005.0,,141.0
faaf3824-f01d-4a35-8847-f6298f05fd30,2019-05-27 15:39:21,Run,,4357.0,8096.7998046875,,
f1a880f9-c648-4b8e-9d38-ed6b90d4d535,2019-05-28 17:29:42,Workout,,3600.0,,,
51820d59-5090-4e96-8846-3bfdda33d1b1,2019-05-29 15:52:42,Run,,2947.0,6056.0,,139.0
21c9d13c-3dc6-4d56-b0b1-53e6069918e7,2019-05-30 04:18:59,Run,,1035.0,3006.0,,114.0
1e263483-78ff-40bb-b0e9-a23cdebbf6fc,2019-06-01 07:58:52,Workout,,21113.0,47217.0,,125.0
67cf7c24-02fa-4911-9aac-3a4f09ca25e9,2019-06-03 05:41:22,Ride,,2644.0,8954.0,,103.0
26fad1e0-68f0-4570-bc44-745497d70045,2019-06-03 15:47:19,Ride,,2094.0,13244.0,,102.0
bfa3ae01-ac2f-4313-8427-4e42c39c78d4,2019-06-03 17:57:59,Ride,,2152.0,11452.0,,122.0
c59b9c48-d365-4c73-aea7-d744e298de71,2019-06-05 06:10:29,Workout,,3600.0,,,
dba7b2ac-15d3-49a1-bdc0-419d770bb162,2019-06-06 16:51:45,Run,,1351.0,4456.0,,143.0
f71ec5e8-bf07-465c-bdf0-7e54b14216a1,2019-06-08 09:00:06,Run,,4148.0,11452.0,,147.0
83964511-1555-4347-8669-df904c500f3e,2019-06-10 15:31:26,Ride,,2529.0,10665.0,,87.0
290af18b-177a-46a4-87ec-73c9789b0b94,2019-06-11 14:57:50,Run,,4173.0,7661.0,,118.0
d69a12ac-e90c-4d05-b10b-d388097a1b5a,2019-06-11 17:00:48,Workout,,3600.0,,,
80a1f07e-7e21-4ee3-b047-6c65d01be9e1,2019-06-12 05:45:09,Ride,,2588.0,9253.0,,106.0
ebea195f-e807-4608-b317-066c68f05462,2019-06-12 15:57:08,Ride,,4377.0,25322.0,,104.0
4799048d-9da7-432f-8099-fa172c196358,2019-06-13 17:34:22,Run,,698.0,1901.0,,119.0
25276bd3-b4c0-4da1-b019-5a215ed9887e,2019-06-13 16:37:13,Run,,1462.0,4496.0,,129.0
b3915b20-7273-4b84-a225-292d3c7d7dcb,2019-06-16 09:00:00,Ride,,7464.0,42700.0,,138.0
373902ac-21df-4165-8bd3-a29e9b69c965,2019-06-18 16:09:31,Workout,,3600.0,,,
982ef98f-a6d6-4c49-a52d-f06660db33c4,2019-06-19 04:10:07,Workout,,3600.0,,,
8cfc5d8a-cdcb-43de-b4a4-3ad5d95a874e,2019-07-15 06:19:25,Ride,1578.0,1266.0,5635.0,,104.0
7c3ea194-6978-48f8-9b3a-5c57a29d0d7a,2019-07-16 05:58:50,Ride,2280.0,2199.0,8490.0,,100.0
b9449e82-5b54-44fb-8e00-eba41d19c48c,2019-07-15 16:42:18,Ride,4179.0,4074.0,23676.0,,107.0
4ba15b2d-9836-4ba2-8f27-80c29efb6723,2019-07-18 16:41:08,Ride,5058.0,4887.0,25460.0,,92.0
0a719918-996f-491f-810f-d500ac5c8b68,2019-07-21 10:02:00,Ride,9321.0,8809.0,47776.0,,135.0
597cbadd-ed19-4eb4-b598-dd40def2cb75,2019-07-28 17:19:32,Run,1420.0,1420.0,5065.0,,142.0
e742e616-6a50-45d5-a9d1-fb71cccd668c,2019-07-29 17:32:53,Workout,3600.0,3600.0,,,
985dff8b-2970-4c69-b2fa-742791821dbf,2019-08-01 16:37:52,Run,1670.0,1670.0,5216.0,,142.0
2a9712b9-02e0-4e08-8033-4a77d23f8f3f,2019-08-03 07:44:50,Workout,16255.0,14645.0,37827.1015625,,
670b0081-cde5-4050-bb1e-1c03e8098681,2019-08-05 06:12:59,Ride,1931.0,1592.0,6144.0,,83.0
5edd607e-2be9-4dc8-a073-45447946dea5,2019-08-05 15:58:48,Ride,1827.0,1684.0,9344.0,,99.0
43671286-cb87-49e4-8f9f-a7baaefce265,2019-08-11 09:00:03,Ride,9643.0,9615.0,53086.0,,139.0
7b74af5c-388f-47d5-bc33-7c4b6d026754,2019-08-24 07:59:56,Workout,21911.0,20171.0,56470.0,,134.0
b82b126d-80fa-411c-b2df-fb5d17437cab,2019-09-07 05:55:43,Run,2472.0,2445.0,6970.5,,
b0883708-1810-48d6-bdee-bab95b67173c,2019-09-08 06:01:15,Run,1836.0,1836.0,6328.60009765625,,
61ca8a9b-9303-481a-b24f-bd57c0c856a3,2019-09-16 16:27:53,Run,2033.0,2032.0,7045.0,,137.0
5d84f3ec-a5db-4468-8976-f98658681bec,2019-09-17 16:19:49,Ride,4311.0,4167.0,23199.0,,94.0
e07aae55-02c0-4a8b-a603-02e678c3a317,2019-09-22 09:00:04,Ride,7126.0,7102.0,39889.0,,146.0
